hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,etiqueta
1.59219632531249156e-01,1.98409765863875631e-05,1.98126962824199512e-08,2.81421920116774238e-12,6.63258350724653518e-22,1.20953871387145930e-14,4.09444285225369948e-23,1
1.59173389179472158e-01,5.42033286348476871e-06,2.01809757513229011e-09,1.43769740425197364e-13,-2.43828703805890079e-24,-3.09322953473445508e-16,-2.27820946836167624e-25,1
1.59594091824421302e-01,1.39788050582278286e-04,7.24394127954061100e-10,1.01416447203933030e-12,2.01634103148048903e-23,8.81280857894660877e-15,-1.86829083034148855e-23,1
1.59663101398107604e-01,1.61812147108457552e-04,4.69609653572716860e-09,7.95161325870859600e-12,1.22880937321664484e-21,7.84646253513896160e-14,-9.22531497615932423e-22,1
1.62442217864161326e-01,1.05697877889380479e-03,6.02521031660161934e-09,5.03602410425556876e-11,-2.54339621503913777e-20,-1.52069182765647064e-12,1.10752601740714997e-20,1
1.59159463239478771e-01,1.23778766728182107e-06,1.78153359064067394e-08,1.93457459247334500e-13,-7.19405552729951060e-24,-1.49680452374749291e-16,-8.78828227285318637e-24,1
1.64144217512770280e-01,1.61221605918142503e-03,3.05054701184739542e-08,5.47237127455437236e-10,1.70737342369910074e-18,1.54024473457510856e-11,-1.44364836055664250e-18,1
1.70501142914605441e-01,3.74000681436028552e-03,9.18743644725905347e-09,4.41920330068575632e-10,8.89511836963851710e-19,2.69699184433984991e-11,-4.10252064177369664e-20,1
1.61695725281004843e-01,8.14151717802026522e-04,3.83237343889468761e-08,2.47168988802987074e-10,-7.59537583303886150e-19,-7.04660310981617460e-12,4.23993498053358328e-20,1
1.59385960549717765e-01,7.32561555742902850e-05,5.97906097123048266e-09,3.58690624946299577e-12,2.84293164303322101e-22,1.45945758670335822e-14,-4.41705413767853768e-22,1
1.63301745293087941e-01,1.33665819751458792e-03,1.05574761630443738e-09,1.97711071613838512e-11,2.74350488356207467e-21,6.88468217204134817e-13,-7.95288815800785880e-22,1
1.59976584835373248e-01,2.61942914965546884e-04,3.22392922636888984e-10,9.21809306412256334e-13,5.19218198053761006e-24,5.14755465164880029e-15,1.50189478925855218e-23,1
