archivo,origen,recorte
ppt_001_00-00-00.jpg,slide_001_00-00-00.jpg,x=0 y=68 w=1674 h=942
ppt_002_00-00-08.jpg,slide_002_00-00-08.jpg,x=0 y=68 w=1674 h=942
ppt_003_00-05-08.jpg,slide_003_00-05-08.jpg,x=0 y=68 w=1674 h=942
ppt_004_00-05-16.jpg,slide_004_00-05-16.jpg,x=0 y=68 w=1674 h=942
ppt_005_00-06-42.jpg,slide_005_00-06-42.jpg,x=0 y=68 w=1674 h=942
ppt_006_00-13-30.jpg,slide_006_00-13-30.jpg,x=0 y=68 w=1674 h=942
ppt_007_00-13-38.jpg,slide_007_00-13-38.jpg,x=0 y=68 w=1674 h=942
ppt_008_00-14-58.jpg,slide_008_00-14-58.jpg,x=0 y=68 w=1674 h=942
ppt_009_00-16-32.jpg,slide_009_00-16-32.jpg,x=0 y=68 w=1674 h=942
ppt_010_00-17-54.jpg,slide_010_00-17-54.jpg,x=0 y=68 w=1674 h=942
ppt_011_00-21-42.jpg,slide_011_00-21-42.jpg,x=0 y=68 w=1674 h=942
ppt_012_00-21-50.jpg,slide_012_00-21-50.jpg,x=0 y=68 w=1674 h=942
ppt_013_00-22-10.jpg,slide_013_00-22-10.jpg,x=0 y=68 w=1674 h=942
ppt_014_00-23-08.jpg,slide_014_00-23-08.jpg,x=0 y=68 w=1674 h=942
ppt_015_00-24-36.jpg,slide_015_00-24-36.jpg,x=0 y=68 w=1674 h=942
ppt_016_00-24-44.jpg,slide_016_00-24-44.jpg,x=0 y=68 w=1674 h=942
ppt_017_00-26-16.jpg,slide_017_00-26-16.jpg,x=0 y=68 w=1674 h=942
ppt_018_00-27-20.jpg,slide_018_00-27-20.jpg,x=0 y=68 w=1674 h=942
ppt_019_00-27-28.jpg,slide_019_00-27-28.jpg,x=0 y=68 w=1674 h=942
ppt_020_00-27-36.jpg,slide_020_00-27-36.jpg,x=0 y=68 w=1674 h=942
ppt_021_00-27-44.jpg,slide_021_00-27-44.jpg,x=0 y=68 w=1674 h=942
ppt_022_00-27-52.jpg,slide_022_00-27-52.jpg,x=0 y=68 w=1674 h=942
ppt_023_00-30-10.jpg,slide_023_00-30-10.jpg,x=0 y=68 w=1674 h=942
ppt_024_00-31-56.jpg,slide_024_00-31-56.jpg,x=0 y=68 w=1674 h=942
ppt_025_00-32-04.jpg,slide_025_00-32-04.jpg,x=0 y=68 w=1674 h=942
ppt_026_00-32-56.jpg,slide_026_00-32-56.jpg,x=0 y=68 w=1674 h=942
ppt_027_00-34-50.jpg,slide_027_00-34-50.jpg,x=0 y=68 w=1674 h=942
ppt_028_00-39-30.jpg,slide_028_00-39-30.jpg,x=0 y=68 w=1674 h=942
ppt_029_00-39-38.jpg,slide_029_00-39-38.jpg,x=0 y=68 w=1674 h=942
ppt_030_00-40-16.jpg,slide_030_00-40-16.jpg,x=0 y=68 w=1674 h=942
ppt_031_00-41-38.jpg,slide_031_00-41-38.jpg,x=0 y=68 w=1674 h=942
ppt_032_00-42-32.jpg,slide_032_00-42-32.jpg,x=0 y=68 w=1674 h=942
ppt_033_00-44-18.jpg,slide_033_00-44-18.jpg,x=0 y=68 w=1674 h=942
ppt_034_00-45-00.jpg,slide_034_00-45-00.jpg,x=0 y=68 w=1674 h=942
ppt_035_00-45-08.jpg,slide_035_00-45-08.jpg,x=0 y=68 w=1674 h=942
ppt_036_00-45-22.jpg,slide_036_00-45-22.jpg,x=0 y=68 w=1674 h=942
ppt_037_00-47-32.jpg,slide_037_00-47-32.jpg,x=0 y=68 w=1674 h=942
ppt_038_00-49-00.jpg,slide_038_00-49-00.jpg,x=0 y=68 w=1674 h=942
ppt_039_00-50-20.jpg,slide_039_00-50-20.jpg,x=0 y=68 w=1674 h=942
ppt_040_00-52-24.jpg,slide_040_00-52-24.jpg,x=0 y=68 w=1674 h=942
ppt_041_00-52-48.jpg,slide_041_00-52-48.jpg,x=0 y=68 w=1674 h=942
ppt_042_00-57-16.jpg,slide_042_00-57-16.jpg,x=0 y=68 w=1674 h=942
ppt_043_00-57-48.jpg,slide_043_00-57-48.jpg,x=0 y=68 w=1674 h=942
ppt_044_00-59-48.jpg,slide_044_00-59-48.jpg,x=0 y=68 w=1674 h=942
ppt_045_01-00-12.jpg,slide_045_01-00-12.jpg,x=0 y=68 w=1674 h=942
ppt_046_01-01-28.jpg,slide_046_01-01-28.jpg,x=0 y=68 w=1674 h=942
ppt_047_01-01-36.jpg,slide_047_01-01-36.jpg,x=0 y=68 w=1674 h=942
ppt_048_01-01-44.jpg,slide_048_01-01-44.jpg,x=0 y=68 w=1674 h=942
ppt_049_01-01-52.jpg,slide_049_01-01-52.jpg,x=0 y=68 w=1674 h=942
ppt_050_01-02-18.jpg,slide_050_01-02-18.jpg,x=0 y=68 w=1674 h=942
ppt_051_01-03-30.jpg,slide_051_01-03-30.jpg,x=0 y=68 w=1674 h=942
ppt_052_01-03-42.jpg,slide_052_01-03-42.jpg,x=0 y=68 w=1674 h=942
ppt_053_01-03-50.jpg,slide_053_01-03-50.jpg,x=0 y=68 w=1674 h=942
ppt_054_01-06-04.jpg,slide_054_01-06-04.jpg,x=0 y=68 w=1674 h=942
ppt_055_01-06-14.jpg,slide_055_01-06-14.jpg,x=0 y=68 w=1674 h=942
ppt_056_01-06-22.jpg,slide_056_01-06-22.jpg,x=0 y=68 w=1674 h=942
ppt_057_01-07-28.jpg,slide_057_01-07-28.jpg,x=0 y=68 w=1674 h=942
ppt_058_01-08-28.jpg,slide_058_01-08-28.jpg,x=0 y=68 w=1674 h=942
ppt_059_01-08-36.jpg,slide_059_01-08-36.jpg,x=0 y=68 w=1674 h=942
ppt_060_01-09-54.jpg,slide_060_01-09-54.jpg,x=0 y=68 w=1674 h=942
ppt_061_01-10-08.jpg,slide_061_01-10-08.jpg,x=0 y=68 w=1674 h=942
ppt_062_01-11-22.jpg,slide_062_01-11-22.jpg,x=0 y=68 w=1674 h=942
ppt_063_01-11-30.jpg,slide_063_01-11-30.jpg,x=0 y=68 w=1674 h=942
ppt_064_01-12-30.jpg,slide_064_01-12-30.jpg,x=0 y=68 w=1674 h=942
ppt_065_01-12-52.jpg,slide_065_01-12-52.jpg,x=0 y=68 w=1674 h=942
ppt_066_01-13-26.jpg,slide_066_01-13-26.jpg,x=0 y=68 w=1674 h=942
ppt_067_01-14-40.jpg,slide_067_01-14-40.jpg,x=0 y=68 w=1674 h=942
ppt_068_01-15-04.jpg,slide_068_01-15-04.jpg,x=0 y=68 w=1674 h=942
ppt_069_01-15-12.jpg,slide_069_01-15-12.jpg,x=0 y=68 w=1674 h=942
ppt_070_01-16-36.jpg,slide_070_01-16-36.jpg,x=0 y=68 w=1674 h=942
ppt_071_01-22-52.jpg,slide_071_01-22-52.jpg,x=0 y=68 w=1674 h=942
ppt_072_01-23-00.jpg,slide_072_01-23-00.jpg,x=0 y=68 w=1674 h=942
ppt_073_01-25-26.jpg,slide_073_01-25-26.jpg,x=0 y=68 w=1674 h=942
ppt_074_01-25-40.jpg,slide_074_01-25-40.jpg,x=0 y=68 w=1674 h=942
ppt_075_01-25-48.jpg,slide_075_01-25-48.jpg,x=0 y=68 w=1674 h=942
ppt_076_01-26-30.jpg,slide_076_01-26-30.jpg,x=0 y=68 w=1674 h=942
ppt_077_01-27-22.jpg,slide_077_01-27-22.jpg,x=0 y=68 w=1674 h=942
ppt_078_01-27-30.jpg,slide_078_01-27-30.jpg,x=0 y=68 w=1674 h=942
ppt_079_01-30-46.jpg,slide_079_01-30-46.jpg,x=0 y=68 w=1674 h=942
ppt_080_01-31-08.jpg,slide_080_01-31-08.jpg,x=0 y=68 w=1674 h=942
ppt_081_01-33-08.jpg,slide_081_01-33-08.jpg,x=0 y=68 w=1674 h=942
ppt_082_01-33-16.jpg,slide_082_01-33-16.jpg,x=0 y=68 w=1674 h=942
ppt_083_01-35-20.jpg,slide_083_01-35-20.jpg,x=0 y=68 w=1674 h=942
ppt_084_01-35-56.jpg,slide_084_01-35-56.jpg,x=0 y=68 w=1674 h=942
ppt_085_01-36-28.jpg,slide_085_01-36-28.jpg,x=0 y=68 w=1674 h=942
ppt_086_01-36-38.jpg,slide_086_01-36-38.jpg,x=0 y=68 w=1674 h=942
ppt_087_01-36-46.jpg,slide_087_01-36-46.jpg,x=0 y=68 w=1674 h=942
ppt_088_01-38-06.jpg,slide_088_01-38-06.jpg,x=0 y=68 w=1674 h=942
ppt_089_01-38-46.jpg,slide_089_01-38-46.jpg,x=0 y=68 w=1674 h=942
ppt_090_01-38-56.jpg,slide_090_01-38-56.jpg,x=0 y=68 w=1674 h=942
ppt_091_01-39-12.jpg,slide_091_01-39-12.jpg,x=0 y=68 w=1674 h=942
ppt_092_01-39-20.jpg,slide_092_01-39-20.jpg,x=0 y=68 w=1674 h=942
ppt_093_01-40-04.jpg,slide_093_01-40-04.jpg,x=0 y=68 w=1674 h=942
ppt_094_01-40-12.jpg,slide_094_01-40-12.jpg,x=0 y=68 w=1674 h=942
ppt_095_01-42-06.jpg,slide_095_01-42-06.jpg,x=0 y=68 w=1674 h=942
ppt_096_01-42-14.jpg,slide_096_01-42-14.jpg,x=0 y=68 w=1674 h=942
ppt_097_01-42-44.jpg,slide_097_01-42-44.jpg,x=0 y=68 w=1674 h=942
ppt_098_01-42-56.jpg,slide_098_01-42-56.jpg,x=0 y=68 w=1674 h=942
ppt_099_01-43-14.jpg,slide_099_01-43-14.jpg,x=0 y=68 w=1674 h=942
ppt_100_01-43-22.jpg,slide_100_01-43-22.jpg,x=0 y=68 w=1674 h=942
ppt_101_01-43-34.jpg,slide_101_01-43-34.jpg,x=0 y=68 w=1674 h=942
ppt_102_01-43-42.jpg,slide_102_01-43-42.jpg,x=0 y=68 w=1674 h=942
ppt_103_01-44-28.jpg,slide_103_01-44-28.jpg,x=0 y=68 w=1674 h=942
ppt_104_01-44-58.jpg,slide_104_01-44-58.jpg,x=0 y=68 w=1674 h=942
ppt_105_01-45-20.jpg,slide_105_01-45-20.jpg,x=0 y=68 w=1674 h=942
ppt_106_01-45-28.jpg,slide_106_01-45-28.jpg,x=0 y=68 w=1674 h=942
