archivo,origen,recorte
ppt_001_00-00-00.jpg,slide_001_00-00-00.jpg,x=0 y=68 w=1674 h=942
ppt_002_00-00-08.jpg,slide_002_00-00-08.jpg,x=0 y=68 w=1674 h=942
ppt_003_00-01-46.jpg,slide_003_00-01-46.jpg,x=0 y=68 w=1674 h=942
ppt_004_00-10-06.jpg,slide_004_00-10-06.jpg,x=0 y=68 w=1674 h=942
ppt_005_00-16-40.jpg,slide_005_00-16-40.jpg,x=0 y=68 w=1674 h=942
ppt_006_00-18-04.jpg,slide_006_00-18-04.jpg,x=0 y=68 w=1674 h=942
ppt_007_00-21-40.jpg,slide_007_00-21-40.jpg,x=0 y=68 w=1674 h=942
ppt_008_00-23-56.jpg,slide_008_00-23-56.jpg,x=0 y=68 w=1674 h=942
ppt_009_00-26-04.jpg,slide_009_00-26-04.jpg,x=0 y=68 w=1674 h=942
ppt_010_00-30-44.jpg,slide_010_00-30-44.jpg,x=0 y=68 w=1674 h=942
ppt_011_00-33-06.jpg,slide_011_00-33-06.jpg,x=0 y=68 w=1674 h=942
ppt_012_00-36-42.jpg,slide_012_00-36-42.jpg,x=0 y=68 w=1674 h=942
ppt_013_00-38-50.jpg,slide_013_00-38-50.jpg,x=0 y=68 w=1674 h=942
ppt_014_00-39-06.jpg,slide_014_00-39-06.jpg,x=0 y=68 w=1674 h=942
ppt_015_00-39-54.jpg,slide_015_00-39-54.jpg,x=0 y=68 w=1674 h=942
ppt_016_00-40-02.jpg,slide_016_00-40-02.jpg,x=0 y=68 w=1674 h=942
ppt_017_00-40-56.jpg,slide_017_00-40-56.jpg,x=0 y=68 w=1674 h=942
ppt_018_00-43-56.jpg,slide_018_00-43-56.jpg,x=0 y=68 w=1674 h=942
ppt_019_00-46-28.jpg,slide_019_00-46-28.jpg,x=0 y=68 w=1674 h=942
ppt_020_00-48-22.jpg,slide_020_00-48-22.jpg,x=0 y=68 w=1674 h=942
ppt_021_00-56-44.jpg,slide_021_00-56-44.jpg,x=0 y=68 w=1674 h=942
ppt_022_00-56-52.jpg,slide_022_00-56-52.jpg,x=0 y=68 w=1674 h=942
ppt_023_00-58-42.jpg,slide_023_00-58-42.jpg,x=0 y=68 w=1674 h=942
ppt_024_01-02-34.jpg,slide_024_01-02-34.jpg,x=0 y=68 w=1674 h=942
ppt_025_01-05-32.jpg,slide_025_01-05-32.jpg,x=0 y=68 w=1674 h=942
ppt_026_01-06-20.jpg,slide_026_01-06-20.jpg,x=0 y=68 w=1674 h=942
ppt_027_01-07-10.jpg,slide_027_01-07-10.jpg,x=0 y=68 w=1674 h=942
ppt_028_01-10-08.jpg,slide_028_01-10-08.jpg,x=0 y=68 w=1674 h=942
ppt_029_01-11-28.jpg,slide_029_01-11-28.jpg,x=0 y=68 w=1674 h=942
ppt_030_01-12-00.jpg,slide_030_01-12-00.jpg,x=0 y=68 w=1674 h=942
ppt_031_01-13-26.jpg,slide_031_01-13-26.jpg,x=0 y=68 w=1674 h=942
ppt_032_01-14-06.jpg,slide_032_01-14-06.jpg,x=0 y=68 w=1674 h=942
ppt_033_01-17-42.jpg,slide_033_01-17-42.jpg,x=0 y=68 w=1674 h=942
ppt_034_01-17-50.jpg,slide_034_01-17-50.jpg,x=0 y=68 w=1674 h=942
ppt_035_01-20-58.jpg,slide_035_01-20-58.jpg,x=0 y=68 w=1674 h=942
ppt_036_01-22-48.jpg,slide_036_01-22-48.jpg,x=0 y=68 w=1674 h=942
ppt_037_01-22-56.jpg,slide_037_01-22-56.jpg,x=0 y=68 w=1674 h=942
ppt_038_01-24-42.jpg,slide_038_01-24-42.jpg,x=0 y=68 w=1674 h=942
ppt_039_01-24-50.jpg,slide_039_01-24-50.jpg,x=0 y=68 w=1674 h=942
ppt_040_01-24-58.jpg,slide_040_01-24-58.jpg,x=0 y=68 w=1674 h=942
ppt_041_01-28-04.jpg,slide_041_01-28-04.jpg,x=0 y=68 w=1674 h=942
ppt_042_01-28-12.jpg,slide_042_01-28-12.jpg,x=0 y=68 w=1674 h=942
ppt_043_01-29-48.jpg,slide_043_01-29-48.jpg,x=0 y=68 w=1674 h=942
ppt_044_01-31-28.jpg,slide_044_01-31-28.jpg,x=0 y=68 w=1674 h=942
ppt_045_01-31-38.jpg,slide_045_01-31-38.jpg,x=0 y=68 w=1674 h=942
ppt_046_01-31-46.jpg,slide_046_01-31-46.jpg,x=0 y=68 w=1674 h=942
ppt_047_01-32-26.jpg,slide_047_01-32-26.jpg,x=0 y=68 w=1674 h=942
ppt_048_01-33-26.jpg,slide_048_01-33-26.jpg,x=0 y=68 w=1674 h=942
ppt_049_01-34-02.jpg,slide_049_01-34-02.jpg,x=0 y=68 w=1674 h=942
ppt_050_01-34-32.jpg,slide_050_01-34-32.jpg,x=0 y=68 w=1674 h=942
ppt_051_01-36-10.jpg,slide_051_01-36-10.jpg,x=0 y=68 w=1674 h=942
ppt_052_01-38-14.jpg,slide_052_01-38-14.jpg,x=0 y=68 w=1674 h=942
ppt_053_01-39-24.jpg,slide_053_01-39-24.jpg,x=0 y=68 w=1674 h=942
ppt_054_01-44-36.jpg,slide_054_01-44-36.jpg,x=0 y=68 w=1674 h=942
ppt_055_01-47-22.jpg,slide_055_01-47-22.jpg,x=0 y=68 w=1674 h=942
ppt_056_01-47-50.jpg,slide_056_01-47-50.jpg,x=0 y=68 w=1674 h=942
ppt_057_01-47-58.jpg,slide_057_01-47-58.jpg,x=0 y=68 w=1674 h=942
ppt_058_01-48-34.jpg,slide_058_01-48-34.jpg,x=0 y=68 w=1674 h=942
ppt_059_02-00-56.jpg,slide_059_02-00-56.jpg,x=0 y=68 w=1674 h=942
ppt_060_02-02-52.jpg,slide_060_02-02-52.jpg,x=0 y=68 w=1674 h=942
ppt_061_02-03-00.jpg,slide_061_02-03-00.jpg,x=0 y=68 w=1674 h=942
