archivo,tiempo,recorte
ppt_001_00-00-06.jpg,00:00:06,x=0 y=68 w=1674 h=942
ppt_002_00-00-36.jpg,00:00:36,x=0 y=68 w=1674 h=942
ppt_003_00-00-46.jpg,00:00:46,x=0 y=68 w=1674 h=942
ppt_004_00-05-12.jpg,00:05:12,x=0 y=68 w=1674 h=942
ppt_005_00-07-42.jpg,00:07:42,x=0 y=68 w=1674 h=942
ppt_006_00-11-36.jpg,00:11:36,x=0 y=68 w=1674 h=942
ppt_007_00-13-00.jpg,00:13:00,x=0 y=68 w=1674 h=942
ppt_008_00-13-50.jpg,00:13:50,x=0 y=68 w=1674 h=942
ppt_009_00-14-36.jpg,00:14:36,x=0 y=68 w=1674 h=942
ppt_010_00-16-26.jpg,00:16:26,x=0 y=68 w=1674 h=942
ppt_011_00-17-34.jpg,00:17:34,x=0 y=68 w=1674 h=942
ppt_012_00-17-48.jpg,00:17:48,x=0 y=68 w=1674 h=942
ppt_013_00-23-50.jpg,00:23:50,x=0 y=68 w=1674 h=942
ppt_014_00-28-02.jpg,00:28:02,x=0 y=68 w=1674 h=942
ppt_015_00-30-26.jpg,00:30:26,x=0 y=68 w=1674 h=942
ppt_016_00-35-28.jpg,00:35:28,x=0 y=68 w=1674 h=942
ppt_017_00-39-14.jpg,00:39:14,x=0 y=68 w=1674 h=942
ppt_018_00-41-04.jpg,00:41:04,x=0 y=68 w=1674 h=942
ppt_019_00-44-12.jpg,00:44:12,x=0 y=68 w=1674 h=942
ppt_020_00-44-50.jpg,00:44:50,x=0 y=68 w=1674 h=942
ppt_021_00-45-34.jpg,00:45:34,x=0 y=68 w=1674 h=942
ppt_022_00-46-50.jpg,00:46:50,x=0 y=68 w=1674 h=942
ppt_023_00-48-16.jpg,00:48:16,x=0 y=68 w=1674 h=942
ppt_024_00-48-44.jpg,00:48:44,x=0 y=68 w=1674 h=942
ppt_025_00-52-00.jpg,00:52:00,x=0 y=68 w=1674 h=942
ppt_026_00-52-10.jpg,00:52:10,x=0 y=68 w=1674 h=942
ppt_027_00-52-14.jpg,00:52:14,x=0 y=68 w=1674 h=942
ppt_028_00-52-22.jpg,00:52:22,x=0 y=68 w=1674 h=942
ppt_029_00-52-26.jpg,00:52:26,x=0 y=68 w=1674 h=942
ppt_030_00-53-16.jpg,00:53:16,x=0 y=68 w=1674 h=942
ppt_031_00-54-14.jpg,00:54:14,x=0 y=68 w=1674 h=942
ppt_032_00-54-28.jpg,00:54:28,x=0 y=68 w=1674 h=942
ppt_033_00-57-38.jpg,00:57:38,x=0 y=68 w=1674 h=942
ppt_034_01-00-28.jpg,01:00:28,x=0 y=68 w=1674 h=942
ppt_035_01-14-30.jpg,01:14:30,x=0 y=68 w=1674 h=942
ppt_036_01-15-04.jpg,01:15:04,x=0 y=68 w=1674 h=942
ppt_037_01-18-20.jpg,01:18:20,x=0 y=68 w=1674 h=942
ppt_038_01-18-44.jpg,01:18:44,x=0 y=68 w=1674 h=942
ppt_039_01-19-10.jpg,01:19:10,x=0 y=68 w=1674 h=942
ppt_040_01-19-16.jpg,01:19:16,x=0 y=68 w=1674 h=942
ppt_041_01-20-38.jpg,01:20:38,x=0 y=68 w=1674 h=942
ppt_042_01-22-04.jpg,01:22:04,x=0 y=68 w=1674 h=942
ppt_043_01-23-28.jpg,01:23:28,x=0 y=68 w=1674 h=942
ppt_044_01-23-58.jpg,01:23:58,x=0 y=68 w=1674 h=942
ppt_045_01-24-02.jpg,01:24:02,x=0 y=68 w=1674 h=942
ppt_046_01-24-48.jpg,01:24:48,x=0 y=68 w=1674 h=942
ppt_047_01-26-16.jpg,01:26:16,x=0 y=68 w=1674 h=942
ppt_048_01-26-56.jpg,01:26:56,x=0 y=68 w=1674 h=942
ppt_049_01-28-08.jpg,01:28:08,x=0 y=68 w=1674 h=942
ppt_050_01-28-16.jpg,01:28:16,x=0 y=68 w=1674 h=942
ppt_051_01-29-04.jpg,01:29:04,x=0 y=68 w=1674 h=942
ppt_052_01-30-20.jpg,01:30:20,x=0 y=68 w=1674 h=942
ppt_053_01-31-26.jpg,01:31:26,x=0 y=68 w=1674 h=942
ppt_054_01-32-46.jpg,01:32:46,x=0 y=68 w=1674 h=942
ppt_055_01-33-04.jpg,01:33:04,x=0 y=68 w=1674 h=942
ppt_056_01-34-48.jpg,01:34:48,x=0 y=68 w=1674 h=942
ppt_057_01-36-04.jpg,01:36:04,x=0 y=68 w=1674 h=942
ppt_058_01-37-12.jpg,01:37:12,x=0 y=68 w=1674 h=942
ppt_059_01-38-44.jpg,01:38:44,x=0 y=68 w=1674 h=942
ppt_060_01-39-06.jpg,01:39:06,x=0 y=68 w=1674 h=942
ppt_061_01-39-50.jpg,01:39:50,x=0 y=68 w=1674 h=942
ppt_062_01-39-54.jpg,01:39:54,x=0 y=68 w=1674 h=942
ppt_063_01-40-36.jpg,01:40:36,x=0 y=68 w=1674 h=942
ppt_064_01-40-54.jpg,01:40:54,x=0 y=68 w=1674 h=942
ppt_065_01-42-18.jpg,01:42:18,x=0 y=68 w=1674 h=942
ppt_066_01-43-48.jpg,01:43:48,x=0 y=68 w=1674 h=942
ppt_067_01-45-10.jpg,01:45:10,x=0 y=68 w=1674 h=942
ppt_068_01-46-52.jpg,01:46:52,x=0 y=68 w=1674 h=942
